#name	spt	sval	achi	jd	ra	dec	exptime	barycorr	fluxavg	snr	notes
zetOph	O9.5V	60.5	achi190316.1196.fits	2458559.7821157407	249.30141666666665	-10.56413888888889	20.0	28.48240424140948	70095.37	302.8332376247811	GOOD:38042.832-133534.27
HD4622	B9V	51.0	achi181102.1137.fits	2458425.7198680555	12.012208333333334	-21.72208333333333	300.0	-17.571369199971908	68825.56	300.0763168195852	GOOD:36700.363-130456.59
HD10939	A1V	49.0	achi190923.1155.fits	2458750.753724537	26.533791666666666	-53.52361111111111	50.0	-2.6832852594582826	10581.716	117.49355052844795	GOOD-underexposed:6727.127-19364.002
HD65900	A1V	49.0	achi181106.1174.fits	2458429.9706435185	120.31820833333333	4.881527777777778	300.0	27.967469941907982	57266.957	273.70711769605145	GOOD:27541.08-113069.16
ECen	A1V	49.0	achi190613.1136.fits	2458648.6773575232	182.06858333333332	-48.696527777777774	130.103	-18.139148916153616	21891.756	169.14341616314064	GOOD-underexposed:12092.737-41366.87
HD215789	A2V	48.0	achi190907.1161.fits	2458734.730755787	342.14383333333336	-51.319361111111114	30.0	-9.73831248095351	30768.277	200.5712835413515	GOOD:21341.3-55492.93
HD106819	A2V	48.0	achi190823.1116.fits	2458719.602072917	184.27408333333332	-16.698694444444445	400.0	-18.57823208235646	19856.635	161.07616073220237	GOOD-underexposed:14035.091-36722.906
HD216956	A3V	47.0	achi190913.1137.fits	2458740.6524502314	344.4166666666667	-29.62213888888889	5.0	-8.40636460247211	57765.453	274.89655765652213	GOOD:36744.11-106290.68
HD96568	A3V	47.0	achi190404.1138.fits	2458578.833287037	166.59883333333335	-64.84047222222222	600.0	4.643291778682746	69920.69	302.4554746721775	GOOD:49882.48-128462.57
HD11753	A3V	47.0	achi190828.1165.fits	2458724.8518090276	28.591916666666666	-42.49458333333333	200.0	9.156369066955174	14347.668	136.8733880588142	GOOD-underexposed:8631.818-26313.625GOOD_bestone
HD138105	A3V	47.0	achi190619.1164.fits	2458654.8314099535	232.65891666666667	-20.734222222222222	358.644	-16.223902044071348	23742.98	176.16112590917777	GOOD-underexposed:16286.085-43594.35
HD168525	A6V	44.0	achi190703.1162.fits	2458668.853648611	275.30758333333335	-26.086305555555555	410.778	-3.919532873814305	23437.387	175.02205855959747	GOOD-underexposed:16428.64-43312.17
73Vir	A7V	43.0	achi190825.1117.fits	2458721.553046528	203.021125	-18.732694444444444	205.214	-24.303774071417454	22606.666	171.88749287637796	GOOD-underexposed:16236.621-42354.22
betOct	A9V	41.0	achi190811.1168.fits	2458707.7774643516	341.50491666666665	-81.37805555555555	33.784	-7.079806508091585	23101.314	173.76076492148542	GOOD-underexposed:16923.793-42443.19GOOD_bestone
alfCrv	F1V	39.0	achi190703.1131.fits	2458668.5775162037	182.1125	-24.732499999999998	33.79	-27.506347299030672	25361.578	182.07548465381046	GOOD:20260.99-45999.023
HD1343	F2V	38.0	achi190922.1136.fits	2458749.801149306	4.3955416666666665	-19.054583333333333	60.0	-2.416132392716972	4614.3965	77.41909587744412	GOODenough-underexposed:3286.9446-8412.375
ksiOph	F2V	38.0	achi190701.1171.fits	2458666.707347685	260.257	-21.11675	40.788	-9.59572076809973	25334.504	181.97813613220765	GOOD:20449.799-45450.797
HD40136	F2V	38.0	achi181022.1416.fits	2458414.8352663196	89.11370833333334	-14.163722222222223	38.147	20.246504287663157	54057.848	265.9226651576054	GOOD:38127.344-99726.52GOOD_bestone
58Oph	F5V	35.0	achi190618.1180.fits	2458653.8583622687	265.86833333333334	-21.68766666666667	150.0	-0.8882551035096915	19288.367	158.75033788776656	GOOD-underexposed:13751.566-34988.75
53Vir	F5.5V	34.5	achi190804.1124.fits	2458700.55728125	198.02358333333333	-16.203611111111112	150.0	-27.696707811241478	47051.758	248.08042417537106	GOOD:26430.64-90034.45
HD30652	F6V	34.0	achi180913.1184.fits	2458375.9395694444	72.47404166666666	6.961861111111111	60.0	28.040084491807807	103765.33	368.48601182247614	GOOD:72202.98-192874.64GOOD_bestone
20Oph	F6IV	34.0	achi190701.1165.fits	2458666.7066179398	252.46316666666667	-10.78588888888889	71.193	-13.374640778429775	25129.887	181.2407202314483	GOOD-underexposed:19861.78-46014.637
tauPsA	F6V	34.0	achi190705.1168.fits	2458670.8913726853	332.54675	-32.54725	150.0	17.156923870767663	19403.875	159.22584271901835	GOOD-underexposed:14624.07-35472.434GOOD_bestone
HD38393	F6.5V	33.5	achi190421.1120.fits	2458595.4901637733	86.11954166666666	-22.45086111111111	19.705	-17.082025480407342	25667.91	183.17333308276338	GOOD-underexposed:19791.762-46761.22GOOD_bestone
HD40397	F7V	33.0	achi200210.1139.fits	2458890.973571759	89.59533333333333	-4.654333333333334	1000.0	-21.103674908446767	47299.695	248.73368662023614	GOOD:26088.05-93319.95
HD27808	F8V	32.0	achi180917.1173.fits	2458379.978427083	66.078	21.73766666666667	200.0	27.936173451825113	4596.659	77.26900839036692	GOODenough-underexposed:3549.1997-8582.35
HD19994	F8.5V	31.5	achi201025.1154.fits	2459148.8233043985	48.195	-1.1960555555555556	220.0	5.389736521718821	100713.336	363.0246322573412	GOOD:72145.85-184838.31
gamPav	F9V	31.0	achi190830.1140.fits	2458726.642521991	321.60816666666665	-65.36013888888888	30.05	-12.771159109185888	26559.633	186.33231796625216	GOOD-underexposed:16250.15-49617.863
HD152555	F9	31.0	achi210415.1166.fits	2459321.204642361	253.54091666666667	-4.3404444444444445	1200.0	20.35604170131281	41915.383	234.1375372541332	GOOD:25111.707-79281.484GOOD_bestone
171Pup	F9V	31.0	achi200308.1124.fits	2458917.6428020834	116.391875	-34.163444444444444	300.0	-11.242913218319101	70381.03	303.45000242372754	GOOD:50304.254-128795.65GOOD_bestone
HD34721	F9V	31.0	achi191029.1166.fits	2458787.0031689815	79.71929166666666	-18.130055555555558	400.0	14.0513143674458	40594.008	230.41420915073414	GOOD:27807.574-75443.4GOOD_bestone
KappaFor	G0V	30.0	achi180930.1148.fits	2458392.824209491	35.64341666666667	-23.814555555555557	50.0	6.155230833697997	17078.139	149.36027543473315	GOOD-underexposed:11735.012-31954.057
HD143809	G0V	30.0	achi210327.1155.fits	2459302.1861643516	240.59566666666666	3.6511666666666667	1200.0	20.763654684353572	16329.416	146.04252261277074	GOOD-underexposed:9551.063-30788.97GOOD_bestone
HD27836	G1V	29.0	achi180913.1183.fits	2458375.9977314817	66.06654166666667	14.756444444444444	240.0	28.106343673353603	6748.523	93.7399292119775	GOODenough-underexposed:4790.1714-12918.866
HD9562	G1V	29.0	achi201025.1142.fits	2459148.767113426	23.427791666666668	-7.024944444444444	300.0	-7.690487144122268	66762.914	295.5432115012954	GOOD:37480.375-128160.62GOOD_bestone
HD59967	G2V	28.0	achi200208.1132.fits	2458888.872431713	112.677875	-37.33858333333333	800.0	-4.142680374894901	53513.336	264.57909652959523	GOOD:34888.21-100080.65
18Sco	G2V	28.0	achi200316.1164.fits	2458925.9571805554	243.90866666666668	-8.371500000000001	300.0	26.802006517845054	55830.21	270.24967418036124	GOOD:32690.248-104968.36
HD38858	G2V	28.0	achi191029.1172.fits	2458787.0139722223	87.15316666666666	-4.095722222222222	400.0	19.839144654721466	19238.314	158.5438455945307	GOOD-underexposed:11939.418-36196.887GOOD_bestone
HD114613	G4IV	26.0	achi190801.1133.fits	2458697.614680324	198.021125	-37.80544444444444	119.476	-26.048555285542463	27722.516	190.3731695236215	GOOD-underexposed:12835.309-56043.81
HD90156	G5V	25.0	achi200207.1164.fits	2458888.169149305	155.98508333333334	-29.646638888888887	1000.0	12.827824758094007	65204.047	292.0705964606543	GOOD:38220.68-124535.42
HD111031	G5V	25.0	achi200214.1163.fits	2458895.182177083	191.63283333333334	-11.813611111111111	1000.0	22.602902129273676	58634.055	276.95688550116193	GOOD:36605.824-113533.47
HD4391	G5V	25.0	achi181102.1133.fits	2458425.699395833	11.44925	-47.55419444444444	300.0	-17.10536343332665	79385.7	322.28716504220466	GOOD:46017.09-152082.6GOOD_bestone
HD21019	G5.5V	24.5	achi191128.1139.fits	2458816.818392361	50.831916666666665	-7.793805555555555	500.0	-10.110904777705285	52724.508	262.6204919151502	GOOD:31166.852-99586.22GOOD_bestone
HD115617	G7V	23.0	achi190827.1116.fits	2458723.505741898	199.60304166666666	-18.321305555555554	120.0	-22.668003503179737	22836.717	172.76123967451267	GOOD-underexposed:9632.434-46932.83GOOD_bestone
HD10700	G8V	22.0	achi180728.1203.fits	2458328.9437418985	26.012	-15.932805555555555	60.0	25.152501768632938	80934.664	325.41758743737245	GOOD:53397.926-153563.6GOOD_bestone
41Ara	G9V	21.0	achi190701.1169.fits	2458666.7378318287	259.775625	-46.63847222222222	138.669	-8.193528772112883	30387.61	199.3252269347415	GOOD-underexposed:14953.664-60362.8
HD100623	K0V	20.0	achi200204.1167.fits	2458884.957554398	173.87283333333335	-32.937888888888885	300.0	20.334974898210923	33375.863	208.9070738824604	GOOD-underexposed:17812.793-65775.305
12Oph	K0V	20.0	achi190701.1163.fits	2458666.7809675923	249.09625	-2.327472222222222	300.0	-14.996921446998286	35284.387	214.80321222324682	GOOD-underexposed:16632.248-70285.33
HD176898	K0.5V	19.5	achicombin.HD176898.fits	2459369.170341435	285.58025	2.7417777777777776	1200.0	14.873726274799143	17766.514	152.34687708619253	GOOD-GOODcombin-underexposed:7480.667-36215.934
107Psc	K1V	19.0	achi180930.1141.fits	2458392.7744074077	25.630375	20.266055555555557	40.0	11.098079470261462	6914.377	94.89083892460958	GOODenough-K1V-underexposed:5379.233-13446.375
HD22049	K2V	18.0	achi181022.1408.fits	2458414.79325706	53.24220833333333	-9.456138888888889	37.927	7.957165829780072	66347.99	294.62290692899006	GOOD:31623.193-133037.56GOOD_bestone
epsFor	K2V	18.0	achi191030.1133.fits	2458787.728221065	45.416375	-28.088166666666666	400.0	-2.3183281759092647	51792.37	260.2870653364748	GOOD:25796.252-102130.66GOOD_bestone
HD16160	K3V	17.0	achi181106.1135.fits	2458429.670667824	39.042	6.899388888888889	120.0	-3.294857649912075	26224.736	185.1522455333394	GOOD-underexposed:11148.34-54750.86GOOD_bestone
HD144628	K3V	17.0	achi180730.1149.fits	2458330.765050926	242.43079166666666	-56.44638888888888	200.0	-20.274490634864534	4497.0347	76.42054135294356	GOODenough-K3V-underexposed:1518.5958-9511.324
HD32147	K3V	17.0	achi200114.1264.fits	2458863.7751145833	75.45225	-5.733694444444445	500.0	-17.70513630644913	48595.258	252.11968829681643	GOOD-underexposed:15664.0-106306.44GOOD_bestone
HD50281	K3.5V	16.5	achi200206.1139.fits	2458886.837283565	103.075625	-5.1745833333333335	600.0	-14.696449418850099	47446.168	249.11880590847534	GOOD-underexposed:16131.495-102306.42
HD216803	K4V	16.0	achi180728.1197.fits	2458328.915357639	344.10858333333334	-31.56577777777778	90.0	11.766433217356544	9834.281	113.25349682418641	GOODenough-K4V-underexposed:2963.526-21561.697
HD131977	K4V	16.0	achi190616.1166.fits	2458651.7824083334	224.39133333333334	-21.429972222222222	174.636	-17.973421945194264	33821.004	210.29706116659207	GOOD-underexposed:10996.675-74287.305GOOD_bestone
epsInd	K4V	16.0	achi190701.1203.fits	2458666.846204398	330.88079166666665	-56.79936111111111	59.902	10.893496302355684	35778.195	216.3026000189385	GOOD-underexposed:14999.406-77785.43GOOD_bestone
HD103932	K4V	16.0	achi200222.1150.fits	2458902.9953344907	179.47775	-27.71227777777778	700.0	16.414249298715376	47609.234	249.5468558447018	GOOD-underexposed:15675.782-104826.56
HD32450	K7V	13.0	achi200207.1125.fits	2458887.9845011574	75.62079166666666	-21.259944444444443	1200.0	-20.164876815257685	21381.566	167.15758750919971	GOOD-underexposed:4741.3047-50247.65GOOD_bestone
HD157881	K7V	13.0	achi210602.1141.fits	2459369.0566585646	261.440875	2.108277777777778	1200.0	3.4279968779242416	66365.63	294.6620926734409	GOOD-underexposed:13865.4375-161564.77GOOD_bestone
HD217357	K7V	13.0	achi190805.1156.fits	2458702.1661462965	345.066625	-22.52536111111111	1027.318	10.95591603799707	41793.07	233.79537935127453	GOOD-underexposed:9587.038-97920.33GOOD_bestone
HD165222	M0V	12.0	achicombin.HD165222.fits	2459372.0715787034	271.29045833333333	-3.030972222222222	1200.0	7.266460865261635	48666.152	252.30366251406883	GOOD-GOODcombin-underexposed:9965.514-126408.68
