#name	rv	rverr	vsiniul	vsini	vsinierr	numstd	bestspt	binflag	beststd	CG
TYC8118-1348-1	0.6595142665529741	0.14950088102021883	nan	10.840215975025904	5.538125246577437	9	G0V		HD34721	CG1
2MASSJ07162429-452	0.25357750785752076	0.14051816772426248	u	4.0	1.8539472513081043	7	K1V		12Oph	CG1
TYC8120-2311-1	-0.016852915688076738	0.12021131289700115	nan	4.032252622630058	1.0858211154633686	9	G5V		HD111031	CG1
TYC8124-1497-1	0.9672923027977353	0.16756775871165439	nan	17.2543163229153	1.8810925683380773	7	F8.5V		HD19994	CG1
TYC8551-1683-1	23.397209302832984	0.1462636529883539	nan	16.322503064282422	1.762576139071967	6	F5.5V	SB1?	53Vir	CG1
CD-423577	22.009746792711873	1.8695059801376592	nan	60.451315826014465	6.2326371914314835	3	A7V	SB1?	73Vir	CG1
2MASSJ07095779-463	0.6480455832800752	0.11963956937286944	nan	4.172102468096846	1.0144249438680903	6	G5V		HD111031	CG1
TYC8132-127-1	25.418795876896276	0.21080329731557326	nan	5.607656008524016	6.599697843141693	9	F9V	SB1?	171Pup	CG1
2MASSJ07164444-453	0.6011461960771615	0.1251550363168791	nan	4.748471314640119	0.7835073719226316	9	G5V		HD111031	CG1
2MASSJ07145871-453	-22.92866662417466	0.14614623145743091	nan	4.011983152603604	1.7005957797173858	6	G8V	SB1?	HD10700	CG1
CD-472916	-3.073909708665574	6.036501745650604	nan	nan	nan	8	A2V		HD106819	CG1
TYC8119-884-1	0.6403979603389105	1.5041600333572926	nan	69.57049687262408	2.5182323324550975	3	F1V		alfCrv	CG1
TYC8119-1809-1	0.6357034863200508	2.3788375743452916	nan	28.220881692736896	15.656168265828827	4	F2V		ksiOph	CG1
TYC8119-472-1	-0.11849843195529935	0.14825292263151404	u	4.0	1.260756278501598	9	G2V		18Sco	CG1
TYC8123-695-1	-0.9775669895119918	2.478418141731963	nan	39.90995036460637	5.097577807714408	4	F1V		HD40136	CG1
TYC8119-1883-1	0.27321865979046006	0.2542988072627309	nan	16.884974717896398	2.029997972883162	6	F5.5V		53Vir	CG1
CD-443499	63.58126526114365	2.7643551996011464	nan	42.49700767682433	26.85709861558315	5	A3V	SB1?	HD96568	CG1
CD-453071	nan	nan	nan	66.83719465358973	nan	7	A3V		HD216956	CG1
