#name	SpTGuess	SpTerr	notes	Notecode
PHa12	M3V	0.5	fromYep2020	
PHa14	M3.5V	0.5	fromYep2020	
PHa15	M4V	0.5	fromYep2020	
PHa21	M4.5V	0.5	fromYep2020	
CG30IRS4	M0V	1	fromYep2020	
KWW464	M3V	1	fromKim2005	
KWW598	M2V	1	fromKim2005	
KWW1863	M1V	1	fromKim2005	
KWW1637	K6V	1	fromKim2005	
KWW873	K7V	1	fromKim2005	
KWW1302	M4V	1	fromKim2005	
KWW1953	M3V	1	fromKim2005	
KWW2205	M4V	1	fromKim2005	
KWW1055	G6V	4	fromKim2005	
TYC8134-3161-1	F1V	1		
TYC8142-1542-1	F7V	1		
TYC8142-1598-1	F2V	1	fastrot90	
HD65894	A2V	1	fastrot120	
2MASSJ08391713-523	K1V	1	badnormCURVE_V=13.51_reobs'ing	
TYC8118-1348-1	G0V	1		
2MASSJ07162429-452	K0V	1		
CD-463194	A6V	1	doublelinebinary_equaltemp	SB2
2MASSJ07593159-482	K2V	1	badnormLOW_B=13.4596_reobs'ing	
2MASSJ08250239-494	K0V	1		
TYC8120-2311-1	G3V	1		
TYC8133-155-1	G0V	1	fastrot40	
2MASSJ07513612-460	K2V	1		SB1
TYC8137-2850-1	K2V	1		
HD69991	A2V	1	fastrot100	
2MASSJ07520153-485	G0V	1	fastrot40	
TYC8138-2794-1	A2V	1	fastrot180	
2MASSJ08302738-510	K3V	1		
OOVel	A0V	1	fastrot70	
2MASSJ08243944-521	K1V	1		
2MASSJ08374576-495	K2V	1		
2MASSJ08434121-520	K2V	1		
HD63254	A0V	1	fastrot160	
2MASSJ07095779-463	G6.5	1		
TYC8135-4862-1	A3V	2	fastrot150	
HD65167	A3V	1	fastrot100	
TYC8137-2862-1	A3V	1	fastrot90	
TYC8139-3353-1	G1V	1	fastrot80	
TYC8135-458-1	F1V	1	slowrot	
2MASSJ07164444-453	G3V	1		
2MASSJ08034730-491	G6V	1		
2MASSJ07145871-453	G9V	1		
CD-472916	A2V	1	fastrot120	
TYC8119-884-1	F2V	1	fastrot60	
TYC8119-1809-1	F1V	1	fastrot50	
TYC8119-472-1	G3V	1		
HD65774	B9V	2	fastrot200	
TYC8162-73-1	A6V	1		
TYC8123-695-1	F0V	1		
TYC8119-1883-1	F6V	1		
CD-443499	A5V	1		
2MASSJ08391280-510	G9V	1		
CD-453071	A3V	1		
CD-463053	F1V	1	fastrot80	
2MASSJ07220786-460	G6.5V	1		
TYC8120-2138-1	F2V	1		
TYC8139-2616-1	F2V	1		
2MASSJ07541482-462	K2.5V	1		
CD-483672	A4V	1	fastrot90	
2MASSJ07513612-460_2	K2V	1		SB1
CD-472887	A2V	1		
2MASSJ07162092-463	K1V	1		
2MASSJ07184659-453	K1V	1		
2MASSJ07140743-462	K4V	1	lowcountsbutokay	
HD57416	A3V	1		
CD-463075	A7V	1	fastrot120	
CD-472816	F2V	1		
HD56857	F4V	1		
CD-463031A	F9V	1	somemissinglines	
TYC8119-1855-1	F6V	1		
HD57552	A3V	1		
HD57597	A2V	2	fastrot180	
2MASSJ07122400-452	G3V	1		
TYC8124-2032-1	A4V	1	fastrot70	
2MASSJ07254813-470	G7V	1		
TYC8133-1754-1	F3.5V	1		
TYC8133-1522-1	G8V	1.5	fastrot65	
HD63579	B5V	3	slowrot	
2MASSJ08494919-530	G5V	1		
HD64699	A1V	1	fastrot100	
2MASSJ08042347-493	K3V	1		
2MASSJ08323887-522	K1V	1		
2MASSJ07560331-491	G8V	1		
2MASSJ08450857-531	K1V	1		
2MASSJ08212561-515	G7V	1		SB1
HD57001	G9III	1		
TYC8119-123-1	G2V	1		
CD-453072	A2V	1	fastrot100	
TYC8124-2279-1	G1V	1		
TYC8120-2711-1	F6V	1		
HD64780	A0V	1	fastrot180	
2MASSJ08364848-511	K2V	2		
CD-463212	G3V	4	fastrot100	
RP937	K4V	1		
CD-463471	A1V	1	fastrot100	
HD72163	A1V	1	fastrot180	
2MASSJ08292220-505	K2V	2	fastrot200_OMG	
2MASSJ08492498-533	K2.5V	1		
2MASSJ08301848-510	G9V	1	fastrot90	
2MASSJ08382678-535	G3V	2		
2MASSJ08291213-505	K0V	2	badnormCURVE_B=13.6774_reobs'dbutstillbad!!!!!	
2MASSJ08292489-503	F1V	4	fastrot100	
HD73387	A2V	1	fastrot90	
HD73464	A0.5V	1		
HD63364	B9V	2	fastrot300	
TYC8134-2250-1	A0V	2	fastrot300	
TYC8134-2250-2	A4V	1	slowrot	
TYC8138-2569-1	A6.5V	1		
HD66005	B2V	2	fastrot80_whichisslowrotforB	
TYC8134-1929-1	A3V	1		
CD-483205	A2V	1		
2MASSJ07491846-465	A6V	1		
2MASSJ07554620-471	K2V	2	fastrot40	
HD65335	A1V	2	badnormCURVE_B=10.2363	
CD-344842B	B9V	2	fastrot130	
PHa92	K3V	1	veiled?	
CD-344836	A0V	1	fastrot200	
HD72138	B9V	1	fastrot200	
TYC8138-2304-1	G9V	2		
HD72857	A1V	1	fastrot200	
2MASSJ08334968-514	F8V	2	fastrot40	
2MASSJ08260440-343	K2V	3		
TYC8134-2159-1	F5V	1	fastrot80	
HD64248	B9V	2	fastrot300_featureless	
HD64318	B5V	2	slowrot_hotterthanmycatalogue	
HD64578	B8V	1	slowrot	
2MASSJ08295658-511	K0V	2	fastrot80_toofewcounts_reobs'ing	
2MASSJ08342423-534	G1V	1		
2MASSJ08343731-502	K2V	1		
2MASSJ08352943-514	F8V	1		
HD64461	A1V	1	fastrot90	
HD65658	B5V	2	slowrot_hotterthanmycatalogue	
CD-503373	A3V	1	fastrot170	
2MASSJ08301902-510	G0V	2	fastrot60	
2MASSJ07122621-452	G6V	1		
APCol	M5V	1		
APCol_2	M5V	1		
TYC8138-2890-1	K1V	1		
TYC8138-3251-1	A1V	1	fastrot150	
TYC8143-2246-1	F4V	1	fastrot40_variable?Lineshapechange?	
TYC8144-2888-1	F5.5V	1	fastrot40	
HD66191	A1V	1	fastrot150	
HD66971	A0V	1		
HD71969	B9V	1	fastrot250	
HD73105	B3V	2	fastrot250_hotterthanmycatalogue	
TYC8568-2056-1	F6V	1	fastrot50	
2MASSJ08393055-512	K1V	1		
2MASSJ08280595-495	K3.5V	1.5		
