#check	number	name	ra	dec	V	spt
[x]	[1] 	CG4_1	07:29:32.903	-46:11:03.618	14.32	
[x]	[2] 	CG4_2	07:30:47.131	-46:23:38.361	16.75	
[x]	[3] 	CG4_3	07:31:21.856	-46:57:43.938	14.33	
[x]	[4] 	CG4_4	07:31:37.064	-47:03:21.112	16.43	
[x]	[5] 	CG4_5	07:31:53.832	-47:32:25.139	15.86	
[x]	[6] 	CG4_6	07:31:56.341	-46:54:22.575	16.36	
[x]	[7] 	CG4_7	07:32:00.781	-46:58:48.016	15.89	
[x]	[8] 	CG4_8	07:33:26.864	-46:48:42.562	14.19	
[x]	[9] 	CG22_1	08:23:19.184	-35:23:22.29	16.18	
[-]	[10] 	CG22_2	08:24:25.885	-35:49:54.195	16.75	
[-]	[11] 	CG22_3	08:25:14.743	-34:22:58.334	16.96	
[-]	[12] 	CG22_4	08:26:05.75	-34:38:10.478	16.93	
[x]	[13] 	CG22_5	08:26:19.325	-34:38:26.796	14.03	
[x]	[14] 	CG22_6	08:26:29.418	-34:35:08.152	15.83	
[x]	[15] 	CG22_7	08:26:30.404	-34:30:37.279	15.48	
[x]	[16] 	CG22_8	08:26:58.684	-34:15:37.952	15.66	
[x]	[17] 	CG22_9	08:26:59.359	-34:25:00.06	16.18	
[x]	[18] 	CG22_10	08:27:20.222	-34:27:49.556	14.7	
[x]	[19] 	CG22_11	08:27:24.282	-35:13:05.118	16.07	
[x]	[20] 	CG22_12	08:27:34.641	-35:05:55.776	15.5	
[x]	[21] 	CG22_13	08:27:50.933	-35:06:57.58	15.93	
[x]	[22] 	CG22_14	08:27:56.447	-34:54:52.872	14.03	
[-]	[23] 	CG22_15	08:28:07.828	-35:03:42.415	16.68	
[-]	[24] 	CG22_16	08:28:11.509	-33:53:48.64	16.45	
[x]	[25] 	CG22_17	08:28:14.608	-34:58:01.723	15.19	
[x]	[26] 	CG22_18	08:28:19.667	-33:54:36.631	15.89	
[-]	[27] 	CG22_19	08:28:31.271	-33:52:26.584	16.86	
[x]	[28] 	CG22_20	08:28:40.697	-33:46:22.287	13.94	
[]	[29] 	CG22_21	08:28:41.031	-34:31:34.148	14.01	
[]	[30] 	CG22_22	08:28:43.698	-33:49:58.052	15.75	
[]	[31] 	CG22_23	08:28:55.795	-34:24:09.867	15.99	
[-]	[32] 	CG22_24	08:29:33.166	-34:21:00.771	16.82	
[-]	[33] 	CG22_25	08:29:41.397	-34:54:04.098	16.95	
[]	[34] 	CG22_26	08:31:26.506	-35:16:31.418	14.11	
[-]	[35] 	CG22_27	08:31:28.635	-35:23:44.035	16.93	
[x]	[36] 	CG30_1	08:07:28.504	-35:52:19.648	16.02	
[x]	[37] 	CG30_2	08:08:00.655	-35:57:33.127	15.82	
[x]	[38] 	CG30_3	08:08:14.865	-36:02:09.274	16.2	
[x]	[39] 	CG30_4	08:08:26.916	-36:03:35.178	15.55	
[x]	[40] 	CG30_5	08:08:33.855	-36:08:09.415	15.72	
[x]	[41] 	CG30_6	08:08:37.813	-36:03:54.954	14.56	
[x]	[42] 	CG30_7	08:08:38.509	-36:06:25.526	16.75	
[x]	[43] 	CG30_8	08:08:45.39	-36:08:40.008	13.82	
[x]	[44] 	CG30_9	08:08:46.811	-36:07:52.555	16.0	
[!]	[45] 	CG30_10	08:08:57.163	-36:45:11.091	15.83	
[x]	[46] 	CG30_11	08:09:13.473	-36:10:29.442	14.46	
[x]	[47] 	CG30_12	08:09:51.77	-36:23:02.266	15.95	
[x]	[48] 	CG30_13	08:10:40.171	-36:38:51.611	15.42	
[]	[49] 	CG17_1	08:31:17.219	-50:36:23.954	15.04	
[]	[50] 	CG17_2	08:32:46.412	-50:58:16.027	13.58	
[]	[51] 	CG17_3	08:37:58.817	-51:48:21.755	13.58	
[]	[52] 	CG17_4	08:40:29.78	-51:32:10.601	13.5	
[]	[53] 	CG17_5	08:40:37.927	-52:29:55.298	14.25	
[]	[54] 	CG17_6	08:40:58.555	-51:30:50.565	14.97	
[]	[55] 	CG17_7	08:41:08.152	-52:01:03.592	14.3	
[]	[56] 	GDC1_1	08:21:51.309	-49:49:36.043	15.11	
[]	[57] 	GDC1_2	08:23:31.103	-49:28:11.256	15.01	
[]	[58] 	GDC1_3	08:24:56.225	-50:19:03.111	15.23	
[]	[59] 	GDC1_4	08:28:39.396	-50:45:37.064	15.09	
[]	[60] 	GDC1_5	08:30:27.391	-51:09:14.493	13.98	
[]	[61] 	GDC1_6	08:30:50.53	-52:31:13.572	15.8	
[]	[62] 	GDC1_7	08:30:06.887	-49:56:34.823	16.9	
[]	[63] 	GDC1_8	08:34:13.732	-51:06:08.782	16.03	
[x]	[64] 	CG14_1	07:45:10.504	-48:17:41.603	15.47	
[x]	[65] 	CG14_2	07:46:04.172	-49:21:12.582	15.97	
[x]	[66] 	CG14_3	07:48:01.208	-49:10:02.236	14.2	
[x]	[67] 	CG14_4	07:48:51.325	-48:22:44.056	15.35	
[x]	[68] 	CG14_5	07:48:07.968	-48:29:13.232	14.96	
[x]	[69] 	CG14_6	07:53:16.777	-49:10:35.261	14.94	
[x]	[70] 	CG14_7	07:58:26.25	-48:01:50.445	15.67	
[x]	[71] 	CG14_8	07:58:32.851	-49:16:12.822	15.4	
[x]	[72] 	CG14_9	07:58:48.957	-49:11:46.746	14.98	
[x]	[73] 	CG14_10	07:58:07.114	-48:23:21.847	14.74	
[x]	[74] 	CG14_11	07:59:19.695	-49:10:10.293	14.91	
[x]	[75] 	CG14_12	07:59:09.333	-49:50:54.89	14.98	
[x]	[76] 	CG14_13	08:00:48.617	-48:57:32.182	15.19	
[x]	[77] 	CG14_14	08:02:28.926	-48:54:40.219	15.15	
[x]	[78] 	CG14_15	08:05:49.206	-48:32:18.346	14.69	
[]	[79] 	CG3_1	07:37:38.316	-45:09:51.5	15.48	
[]	[80] 	CG3_2	07:40:30.77	-45:26:02.885	15.67	
[]	[81] 	CG3_3	07:40:51.098	-45:14:36.404	14.54	
[]	[82] 	CG3_4	07:42:49.618	-46:52:42.481	16.14	
[]	[83] 	CG3_5	07:43:01.029	-47:18:15.583	15.78	
[]	[84] 	CG3_6	07:43:58.724	-45:52:23.704	16.85	
[]	[85] 	CG3_7	07:44:13.315	-47:12:31.864	16.04	
[]	[86] 	CG3_8	07:44:15.848	-47:12:39.662	16.44	
[]	[87] 	CG3_9	07:44:02.944	-47:22:51.482	14.03	
[]	[88] 	CG3_10	07:44:25.64	-46:44:14.735	15.94	
[]	[89] 	CG3_11	07:44:28.098	-47:29:59.001	16.73	
[]	[90] 	CG3_12	07:44:04.396	-46:47:40.094	15.23	
[]	[91] 	CG3_13	07:44:55.144	-45:42:14.514	14.62	
[]	[92] 	CG3_14	07:44:08.206	-47:43:33.667	15.78	
[]	[93] 	CG3_15	07:45:22.118	-45:42:29.093	16.76	
[]	[94] 	CG3_16	07:45:27.591	-45:39:30.25	15.54	
[]	[95] 	CG3_17	07:45:54.209	-48:12:25.218	14.36	
[]	[96] 	CG3_18	07:45:07.327	-46:07:12.256	15.18	
[]	[97] 	CG3_19	07:46:12.279	-46:10:50.044	16.84	
[]	[98] 	CG3_20	07:46:35.675	-48:02:34.802	16.8	
[]	[99] 	CG3_21	07:46:56.143	-46:33:23.896	15.09	
[]	[100] 	CG3_22	07:47:01.309	-46:50:41.843	16.74	
[]	[101] 	CG3_23	07:47:18.825	-47:02:51.618	16.57	
[]	[102] 	CG3_24	07:47:20.075	-45:42:52.566	14.64	
[]	[103] 	CG3_25	07:47:26.175	-46:53:53.892	14.84	
[]	[104] 	CG3_26	07:47:28.398	-47:59:01.387	15.96	
[]	[105] 	CG3_27	07:47:31.952	-45:30:40.753	14.26	
[]	[106] 	CG3_28	07:47:40.433	-46:12:18.475	16.54	
[]	[107] 	CG3_29	07:48:00.091	-46:15:46.269	14.83	
[]	[108] 	CG3_30	07:48:23.677	-45:51:37.321	15.52	
[]	[109] 	CG3_31	07:48:24.096	-46:35:04.145	16.76	
[]	[110] 	CG3_32	07:48:29.54	-46:34:59.144	16.13	
[]	[111] 	CG3_33	07:48:38.529	-46:04:18.424	16.01	
[]	[112] 	CG3_34	07:48:49.695	-46:31:22.999	16.72	
[]	[113] 	CG3_35	07:48:50.358	-48:24:46.615	16.51	
[]	[114] 	CG3_36	07:48:56.954	-45:48:10.114	15.43	
[]	[115] 	CG3_37	07:48:58.3	-46:17:10.91	16.38	
[]	[116] 	CG3_38	07:48:07.711	-46:55:25.878	16.99	
[]	[117] 	CG3_39	07:49:01.752	-46:08:15.214	16.28	
[]	[118] 	CG3_40	07:49:10.278	-46:07:18.567	14.23	
[]	[119] 	CG3_41	07:49:10.504	-46:23:15.359	16.16	
[]	[120] 	CG3_42	07:49:12.884	-47:30:24.815	16.86	
[]	[121] 	CG3_43	07:49:36.251	-46:03:16.734	16.6	
