#name	object	SpT		spt_func	norm	deg	peak	file	wfunfile	notes
CG30_11	CG30_11	K0V		K	K	nan	nan	GoodmanNormBest/n_CG30_11.fits	Dr.-Yep-2024-summer-research/Day1/RED/wfun/wfun_CG30_11.fits	nan
CG30_12_target_2	CG30_12_target_2	K0V		K	K	nan	nan	GoodmanNormBest/n_CG30_12_target_2.fits	Dr.-Yep-2024-summer-research/Special/special_efiles/wfun/wfun_CG30_12_target_2.fits	Probably chance alignment
CG4_3	CG4_3	K1V		K	K	nan	nan	GoodmanNormBest/n_CG4_3.fits	Dr.-Yep-2024-summer-research/Day1/RED/wfun/wfun_CG4_3.fits	nan
CG14_15	CG14_15	K2V		M	M	nan	nan	GoodmanNormBest/n_CG14_15.fits	Dr.-Yep-2024-summer-research/Day3/RED/wfun/wfun_CG14_15.fits	M norm but looks like K
CG22_14	CG22_14	K2V		K	K,deg=4	4	nan	GoodmanNormBest/n_CG22_14.fits	Dr.-Yep-2024-summer-research/Day3/RED/wfun/wfun_CG22_14.fits	nan
CG14_6_target_2	CG14_6_target_2	K2V		K	K	nan	nan	GoodmanNormBest/n_CG14_6_target_2.fits	Dr.-Yep-2024-summer-research/Special/special_efiles/wfun/wfun_CG14_6_target_2.fits	Minimal blending, chance?
CG22_5	CG22_5	K3V		K	K	nan	nan	GoodmanNormBest/n_CG22_5.fits	Dr.-Yep-2024-summer-research/Day1/RED/wfun/wfun_CG22_5.fits	nan
CG4_1	CG4_1	K3V		K	K	nan	nan	GoodmanNormBest/n_CG4_1.fits	Dr.-Yep-2024-summer-research/Day1/RED/wfun/wfun_CG4_1.fits	nan
CG14_3	CG14_3	K3V		K	K	nan	nan	GoodmanNormBest/n_CG14_3.fits	Dr.-Yep-2024-summer-research/Day2/RED/wfun/wfun_CG14_3.fits	nan
CG14_10	CG14_10	K3V		K	K	nan	nan	GoodmanNormBest/n_CG14_10.fits	Dr.-Yep-2024-summer-research/Day2/RED/wfun/wfun_CG14_10.fits	nan
CG14_13	CG14_13	K3V		K	K	nan	nan	GoodmanNormBest/n_CG14_13.fits	Dr.-Yep-2024-summer-research/Day2/RED/wfun/wfun_CG14_13.fits	nan
CG22_21	CG22_21	K3V		K	K	nan	nan	GoodmanNormBest/n_CG22_21.fits	Dr.-Yep-2024-summer-research/Day3/RED/wfun/wfun_CG22_21.fits	nan
CG22_20	CG22_20	K3V		K	K,peak=4	nan	4	GoodmanNormBest/n_CG22_20.fits	Dr.-Yep-2024-summer-research/Day3/RED/wfun/wfun_CG22_20.fits	nan
CG14_5	CG14_5	K3V		K	K	nan	nan	GoodmanNormBest/n_CG14_5.fits	Dr.-Yep-2024-summer-research/Day3/RED/wfun/wfun_CG14_5_target_1.fits	Main
CG14_7	CG14_7	K3V		K	K,deg=4	4	nan	GoodmanNormBest/n_CG14_7.fits	Dr.-Yep-2024-summer-research/Day3/RED/wfun/wfun_CG14_7.fits	nan
CG4_8	CG4_8	K4V		K	K	nan	nan	GoodmanNormBest/n_CG4_8.fits	Dr.-Yep-2024-summer-research/Day2/RED/wfun/wfun_CG4_8.fits	nan
CG14_12	CG14_12	K4V		K	K	nan	nan	GoodmanNormBest/n_CG14_12.fits	Dr.-Yep-2024-summer-research/Day2/RED/wfun/wfun_CG14_12.fits	nan
CG3_69	CG3_69	K4V		K	K,deg=4	4	nan	GoodmanNormBest/n_CG3_69.fits	Dr.-Yep-2024-summer-research/Day3/RED/wfun/wfun_CG3_69.fits	nan
CG22_10	CG22_10	K4V		K	K,deg=4	4	nan	GoodmanNormBest/n_CG22_10.fits	Dr.-Yep-2024-summer-research/Day3/RED/wfun/wfun_CG22_10_target_1.fits	Main
CG14_11	CG14_11	K5V		K	K	nan	nan	GoodmanNormBest/n_CG14_11.fits	Dr.-Yep-2024-summer-research/Day2/RED/wfun/wfun_CG14_11.fits	nan
CG14_9	CG14_9	K5V		K	K	nan	nan	GoodmanNormBest/n_CG14_9.fits	Dr.-Yep-2024-summer-research/Day2/RED/wfun/wfun_CG14_9.fits	nan
CG14_8	CG14_8	K5V		K	K	nan	nan	GoodmanNormBest/n_CG14_8.fits	Dr.-Yep-2024-summer-research/Day3/RED/wfun/wfun_CG14_8.fits	nan
CG14_6_target_1	CG14_6_target_1	K5V		K	K	nan	nan	GoodmanNormBest/n_CG14_6_target_1.fits	Dr.-Yep-2024-summer-research/Special/special_efiles/wfun/wfun_CG14_6_target_1.fits	Minimal blending, Main?
CG14_14	CG14_14	K7V		K	K,deg=4	4	nan	GoodmanNormBest/n_CG14_14.fits	Dr.-Yep-2024-summer-research/Day2/RED/wfun/wfun_CG14_14.fits	nan
CG30_1	CG30_1	K7V		K	K	nan	nan	GoodmanNormBest/n_CG30_1.fits	Dr.-Yep-2024-summer-research/Day2/RED/wfun/wfun_CG30_1.fits	nan
CG14_4	CG14_4	K7V		K	K,deg=4	4	nan	GoodmanNormBest/n_CG14_4.fits	Dr.-Yep-2024-summer-research/Day3/RED/wfun/wfun_CG14_4.fits	nan
