#name	spt	V	texp	ra	dec	vsini	vsinierr	rv	rverr	vsiniref	rvref	sptref	notes
10Lac	O9V	4.880	150	22 39 15.6786372	+39 03 00.971152	14	nan	-10.10	0.30	Holgado2018	Gontcharov2006	Sota2011	
zetOph	O9.2V	2.56	20	16 37 09.5391	-10 34 01.529	311	8	-9.00	5.50	Simon-Diaz2014	Kharchenko2007	Sota2011	Fred_HIGHVSINI
HD4622	B9V	5.570	300	00 48 01.0647	-21 43 20.991	61	nan	21.50	1.90	Royer2007	Kharchenko2007	Royer2007	
ECen	A1V	5.340	200	12 08 14.7120	-48 41 32.949	74	nan	-2.40	1.60	Royer2007	Gontcharov2006	Royer2007	
HIP038668	A0V	6.98	150	07 55 00.5945	-23 27 55.328	nan	nan	nan	nan	nan	nan	nan	TelluricStandard_noPASTEL_HIGHVSINI_JUNK
HD65900	A1V	5.646	300	08 01 13.8914	+04 52 47.363	33	nan	44.20	0.10	Royer2007	Gontcharov2006	Royer2007	
HD10939	A1V	5.033	200	01 46 06.2630	-53 31 19.329	72.8	0.50	9.5	2.8	Gontcharov2006	Gontcharov2006	Houk1975	name:q02Eri
HIP113673	A2V	6.28	150	23 01 23.0444	-22 47 27.222	91.9	1.3	-10.40	0.50	Diaz2011	Gontcharov2006	Royer2007	TelluricStandard_noPASTEL_JUNK
HD106819	A2V	6.070	400	12 17 03.3331	-16 41 37.454	79.0	0.6	-11.70	1.60	Diaz2011	Gontcharov2006	Royer2007	
HD215789	A2IV	3.466	30	22 48 33.29830	-51 19 00.732	235.1	11.8	-0.40	2.10	Ammler-VonEiff2012	Gontcharov2006	Gray2006	epsGru_A2IVn_Fred_HIGHVSINI_uselessforradvel_SUBGIANT
HD11753	A3V	5.112	300	01 54 22.0335	-42 29 49.018	14.7	0.9	12.0	2.0	Diaz2011	Wilson1953	Royer2007	specbinary_greatforblaze_exptime200too
HD96568	A3V	6.381	600	11 06 24.2527	-64 50 23.904	13	nan	-3.00	0.40	Royer2007	Gontcharov2006	Royer2007	
HD138105	A3V	6.205	450	15 30 36.2522	-20 43 42.792	29	nan	-10.90	1.50	Royer2007	Gontcharov2006	Royer2007	variable
HD216956	A4V	1.16	5	22 57 39.05	-29 37 20.1	91.6	0.5	6.50	0.50	Diaz2011	Gontcharov2006	Gray2006	!!!!!obs!
HD168525	A6V	6.900	900	18 21 12.4078	-26 05 06.416	12	nan	-9.40	0.40	Royer2007	Gontcharov2006	Royer2007	
73Vir	A7V	6.008	400	13 32 02.8065	-18 43 43.958	61	nan	-17.50	0.90	Royer2007	Kharchenko2007	Royer2007	SpT:A7IV/V_POSSIBLESUBGIANT_variable:deltaSct
HD75171	A9V	6.021	400	08 44 29.9583	-65 49 31.550	96.5	0.6	10.70	0.50	Diaz2011	Gontcharov2006	Royer2007	
betOct	A9V	4.141	75	22 46 03.5110	-81 22 53.812	49	nan	28.024	0.337	Royer2007	Yep2024	Royer2007	SpT:A9IV/V_POSSIBLESUBGIANT_badradvel:Gontcharov2006:19.00+/-0.60
alfCrv	F1V	4.000	60	12 08 24.8165	-24 43 43.950	16.9	1.5	2.80	0.30	Ammler-VonEiff2012	Gontcharov2006	Gray2006	
HD40136	F2V	3.720	63.42	05 56 24.2930	-14 10 03.719	16.99	nan	-1.87	0.136	Martinez-Arnaiz2010	Yep2024	Gray2006	badradvel:Gaia2018:-0.91+/-1.09
ksiOph	F2V	4.390	90	17 21 00.3752	-21 06 46.566	19.5	1.0	-8.93	0.30	Ammler-VonEiff2012	Gaia2018	Gray2006	
HD1343	F3V	6.446	500	00 17 32.7030	-19 03 03.937	21	nan	-3.90	0.30	Royer2002	Gontcharov2006	Royer2002	reobs!!!
58Oph	F5V	4.873	150	17 43 25.7937	-21 40 59.498	11.8	0.6	10.16	0.23	Ammler-VonEiff2012	Gaia2018	Gray2006	
53Vir	F5.5V	5.040	150	13 12 03.5438	-16 11 54.968	11.7	1.0	-12.493	0.089	Ammler-VonEiff2012	Yep2024	Gray2006	
HD30652	F6V	3.190	60	04 49 50.4109	+06 57 40.588	16.8	0.4	24.362	0.094	Marsden2014	Yep2024	Morgan1973	Fred_badradvel:Gaia2018:22.54+/-3.76_reobs!!!
tauPsA	F6V	4.920	150	22 10 08.7805	-32 32 54.269	14.1	0.7	-16.259	0.100	Ammler-VonEiff2012	Nidever2002	Gray2006	
20Oph	F6IV	4.646	120	16 49 50.0161	-10 46 58.778	12	nan	1.56	0.27	Takeda2005	Gaia2018	Gray2006	
HD38393	F6.5V	3.600	19.705	05 44 27.7909	-22 26 54.181	9.84	nan	-9.19	0.19	Martinez-Arnaiz2010	Montes2018	Gray2006	
HD40397	F7V	6.984	1000	05 58 21.5353	-04 39 02.402	1.861	0.182	143.621	0.10	Soto2018	Nidever2002	Houk1999	EXTREMERADVELhardtouse
GJ904	F7V	4.120	60	23 39 57.04138	+05 37 34.648	6.67	nan	5.98	0.61	Martinez-Arnaiz2010	Gaia2018	Gray2001	
HD27808	F8V	7.125	1000	04 24 14.5737	+21 44 10.484	13.3	0.7	38.34	0.16	Mermilliod2009	Gaia2018	Gray2001	reobs!!!
HD19994	F8.5V	5.07	220	03 12 46.4372	-01 11 45.961	7.951	0.981	19.331	0.100	Soto2018	Nidever2002	Gray2003	
GJ449	F8.5V	3.60	30	11 50 41.7185	+01 45 53.002	6.441	nan	5.440560	0.01109	Jonsson2020	Jonsson2020	Gray2001	SpT:F8.5IV-V_POSSIBLESUBGIANT
gamPav	F9V	4.220	75	21 26 26.6049	-65 21 58.315	3.7	0.7	-29.84	0.19	Ammler-VonEiff2012	Gaia2018	Gray2006	SpT:F9VFe-1.4CH-0.7
171Pup	F9V	5.37	250	07 45 35.0217	-34 10 20.514	4.4	0.2	106.159	0.100	Ammler-VonEiff2012	Nidever2002	Gray2006	EXTREMERADVELexcludefromrvtest
HD34721	F9V	5.960	400	05 18 50.4729	-18 07 48.184	4.4	0.2	40.448	0.100	Ammler-VonEiff2012	Nidever2002	Gray2006	
HD152555	F9	7.82	1200	16 54 08.144	-04 20 24.660	16.8	  0.6	-16.40	0.19	Guillout2009	Gaia2018	Houk1999	FastRotationforTests_HIGHVSINI_SpT:F8/G0V
GJ502	G0	4.25	75	13 11 52.3938	+27 52 41.462	6.6	nan	5.60	0.19	Luck2017	Gaia2018	Gray2001	
HD1388	G0V	6.500	800	00 17 58.8703	-13 27 20.307	2.677	0.221	28.498	0.10	Soto2018	Nidever2002	Gray2006	obs!!!
KappaFor	G0V	5.190	50	02 22 32.5464	-23 48 58.779	4.22	nan	22.004	0.037	Martinez-Arnaiz2010	Yep2024	Gray2006	Fred_badradvel:Gaia2018:18.33+/-0.47
HD143809	G0V	8.76	1200	16 02 22.418	+03 39 07.197	17.5	1.5	-8.99	0.72	Guillout2009	Gaia2018	Houk1999	FastRotationforTests_HIGHVSINI_reobs!forspectralvar
HD27836	G0V	7.583	1200	04 24 12.4711	+14 45 29.566	8.2	1.0	40.969	0.054	Mermilliod2009	Yep2024	Gray2001	badradvel:Mermilliod2009:37.16+/-0.28_SpT:G0VCaII(e)_reobs!!!
HD39587	G0V	4.40	100	05 54 22.9830	+20 16 34.222	9.8	0.4	-13.17	0.21	Marsden2014	Nidever2002	Gray2006	SpT:G0VCH-0.3
HD9562	G1V	5.760	300	01 33 42.8361	-07 01 31.234	4.2	0.5	-14.989	0.100	Marsden2014	Nidever2002	Gray2006	
HD38858	G2V	5.970	400	05 48 34.9399	-04 05 40.715	4.2	nan	31.543	0.100	Schroder2009	Nidever2002	Gray2003	
18Sco	G2V	5.5	300	16 15 37.2695	-08 22 09.987	2.6	0.5	11.748	0.100	Marsden2014	Nidever2002	Gray2003	
HD59967	G2V	6.635	800	07 30 42.51	-37 20 21.7	3.4	nan	9.37	0.18	Schroder2009	Gaia2018	Gray2006	
HD114613	G4IV	5.550	250	13 12 03.1850	-37 48 10.890	2.381	0.229	-12.85	0.18	Soto2018	Gaia2018	Gray2006	subgiant
HD4391	G5V	5.80	300	00 45 45.5930	-47 33 07.144	5.0	nan	-11.01	0.21	Schroder2009	Gaia2018	Gray2006	eclipsingbinary_SpT:G5VFe-0.8
HD90156	G5V	6.92	1000	10 23 55.2748	-29 38 43.906	0.730	0.236	26.934	0.100	Soto2018	Nidever2002	Gray2006	
HD111031	G5V	6.87	1000	12 46 30.8441	-11 48 44.789	1.728	0.273	-20.458	0.100	Soto2018	Nidever2002	Gray2006	
HD20630	G5V	4.85	200	03 19 21.6963	+03 22 12.715	5.2	0.4	19.021	0.100	Marsden2014	Nidever2002	Gray2001	reobs!
HD21019	G5.5V	6.200	500	03 23 17.7009	-07 47 38.751	2.502	0.419	41.630	0.100	Soto2018	Nidever2002	Houk1999	SpT:G5/6V_spectralvarWHAT_reobs!
HD115617	G7V	4.740	200	13 18 24.3143	-18 18 40.305	3.9	0.9	-7.850	0.100	Ammler-VonEiff2012	Nidever2002	Gray2006	reobs!!!
HD20794	G8V	4.27	100	03 19 55.6509	-43 04 11.215	0.564	nan	87.2	0.1	CostaSilva2020	Ramirez2007	Gray2006	
HD69830	G8V	6.74	1000	08 18 23.9470	-12 37 55.817	1.901	0.327	30.115	0.0002	Soto2018	Soto2018	Gray2006	SpT:G8+V
HD10700	G8.5V	3.500	60	01 44 04.0834	-15 56 14.926	3.26	nan	-16.619	0.10	Martinez-Arnaiz2010	Nidever2002	Gray2006	Fred
41Ara	G9V	5.480	250	17 19 03.8357	-46 38 10.447	4.5	nan	26.03	0.061	Schroder2009	Ramirez2007	Houk1978	SpT:G8/K0V_Double/MultStar_badradvel:Nidever2002:25.3+/-0.1butbinarysomightvary
HD100623	K0V	5.98	300	11 34 29.4870	-32 49 52.820	6.79	nan	-21.959	0.100	Martinez-Arnaiz2010	Nidever2002	Gray2006	SpT:K0-V
12Oph	K0V	5.770	300	16 36 21.4498	-02 19 28.520	2.2	0.4	-12.857	0.100	Marsden2014	Nidever2002	Gray2006	variable:BYDra_SpT:K0V(k)
HD26965	K0.5V	4.43	70	04 15 16.3196	-07 39 10.340	0.5	0.3	-42.331	0.10	Marsden2014	Nidever2002	Gray2006	reobs!!!
HD176898	K0.5V	9.19	1200	19 02 17.089	+02 44 21.879	12.4	2.4	12.519	0.071	Guillout2009	Yep2024	Houk1999	SpT:K0/1Vbadradvel:Gaia2018:8.37+/-2.52
107Psc	K1V	5.24	250	01 42 29.7625	+20 16 06.646	1.7	0.3	-33.58	0.17	Marsden2014	Gaia2018	Gray2006	
HD144628	K1V	7.124	1200	16 09 42.7945	-56 26 42.541	2.461	0.153	36.606	0.0002	Soto2018	Soto2018	Gray2006	
epsFor	K2V	5.850	400	03 01 37.6369	-28 05 29.596	4.2	nan	38.39	0.25	Schroder2009	Gaia2018	Gray2006	SpT_K2VFe-1.3CH-0.8
HD22049	K2V	3.730	37.927	03 32 55.8449	-09 27 29.731	2.4	0.4	16.332	0.10	Marsden2014	Nidever2002	Gray2006	name:epsEri_SpT:K2V(k)
GJ33	K2.5V	5.74	120	00 48 22.9760	+05 16 50.209	2.0	0.3	-10.41	0.15	Marsden2014	Gaia2018	Gray2006	
HD16160	K3V	5.830	120	02 36 04.8947	+06 53 12.747	2.9	0.4	24.522	0.044	Marsden2014	Yep2024	Gray2006	Fred_badradvel:Nidever2002:25.766+/-0.10
HD32147	K3V	6.21	500	05 00 48.9998	-05 45 13.230	1.7	0.4	21.552	0.100	Marsden2014	Nidever2002	Gray2003	SpT:K3+V
HD148513	K3V	5.39	175	16 28 33.9811	+00 39 54.012	10	nan	7.723	0.100	Bernacca1970	Nidever2002	Houk1999	reobs!!!
HD50281	K3.5V	6.57	600	06 52 18.0503	-05 10 25.367	3.9	nan	-7.082	0.100	Schroder2009	Nidever2002	Gray2003	
HD131977	K4V	5.720	300	14 57 28.0015	-21 24 55.713	3.9	nan	26.961	0.100	Schroder2009	Nidever2002	Gray2006	variable:BYDra
HD103932	K4V	6.964	700	11 57 56.2069	-27 42 25.370	4.4	nan	48.499	0.100	Schroder2009	Nidever2002	Gray2006	SpT:K4+V
HD216803	K4V	6.48	600	22 56 24.0526	-31 33 56.031	2.71	0.28	7.00	0.16	Hojjatpanah2019	Gaia2018	Gray2006	SpT:K4+Vk
epsInd	K4V	4.690	100	22 03 21.6581	-56 47 09.517	2.493	0.110	-39.993	0.035	Soto2018	Yep2024	Gray2006	SpT:K4V(k)_badradvel:Gaia2018:-40.50+/-0.23_requires_extra_skipedge
HD36003	K5V	7.642	1200	05 28 26.0960	-03 29 58.399	3.35	nan	-55.527	0.10	Martinez-Arnaiz2010	Nidever2002	Gray2006	SpT:K5-V_reobs!
HD32450	 K7V	8.32	1200	05 02 28.4203	-21 15 23.920	5.4	nan	-15.303	0.056	Schroder2009	Yep2024	Henry2002	Leger2015_badradvel:Nidever2002:-11.004+/-0.38_reobs!
HD217357	K7V	7.869	1200	23 00 16.1215	-22 31 27.653	3.21	nan	16.420	0.100	Martinez-Arnaiz2010	Nidever2002	Gray2006	SpT:K7+Vk
HD157881	K7V	7.56	1200	17 25 45.2327	+02 06 41.121	3.21	nan	-23.199	0.100	Martinez-Arnaiz2010	Nidever2002	Henry2002	
HD111631	M0V	8.47	1200	12 50 43.5670	-00 46 05.260	2.75	0.36	5.551	0.048	Hojjatpanah2019	Yep2024	Houk1999	badradvel:Nidever2002:5.041+/-0.100
HD165222	M0V	9.36	2400	18 05 07.5789	-03 01 52.758	2.47	0.29	32.67	0.10	Hojjatpanah2019	Nidever2002	Henry2002	
HIP18280	M0V	9.02	1200	03 54 35.4659715007	-06 49 33.654053933	1.07	0.55	61.77	0.18	Houdebine2016	Gaia2018	nan	obs!!!_simbadsaysK5Vwhat
HD209290	M0.5V	9.146	1200	22 02 10.2752	+01 24 00.830	20.21	4.94	18.363	0.100	White2007	Nidever2002	Henry2002	yes,OURwhite!OURHenry!
HD42581	M1V	8.125	1200	06 10 34.6153	-21 51 52.712	6.4	nan	4.724	0.100	Schroder2009	Nidever2002	Henry2002	reobs!
HD191849	M1.5V	7.966	1200	20 13 53.3977	-45 09 50.472	1	nan	-33.46	0.52	Torres2006	Gaia2018	Houk1978	SpT:M1/2V
HD36395	M1.5V	7.968	1200	05 31 27.3959	-03 40 38.031	2.50	0.29	8.665	0.100	Hojjatpanah2019	Nidever2002	Henry2002	SpT_M1.5Ve_reobs!
HD217987	M2V	7.340	1200	23 05 52.0361	-35 51 11.048	2.7	0.5	8.677	0.044	Desidera2015	Yep2024	Torres2006	isthatarealspectraltype_badradvel:Gaia2018:8.17+/-0.14
ANSex	M2V	9.264	1200	10 12 17.6682	-03 44 44.392	2.48	0.21	7.675610	0.02035	Hojjatpanah2019	Jonsson2020	Henry2002	
GJ581	M3V	10.61	2400	15 19 26.8230	-07 43 20.210	1	nan	-9.398	0.100	nan	Nidever2002	Henry2002	FAKEvsini
GJ628	M3V	10.072	2400	16 30 18.0580	-12 39 45.323	2.89	0.23	-21.222	0.100	Hojjatpanah2019	Nidever2002	Henry2002	
GJ273	M3.5V	9.872	1200	07 27 24.50	+05 13 32.8	1	nan	18.216	0.100	nan	Nidever2002	Henry2002	Henry2006_noPASTEL_FAKEvsini
GJ447	M4V	11.153	4800	11 47 44.40	+00 48 16.4	1	nan	-31.087	0.100	nan	Nidever2002	Henry2002	SpT:dM4whatdoesthatmean_Henry2006_noPASTEL_FAKEvsini_obsmore!
GJ699	M4V	9.511	1200	17 57 48.50	+04 41 36.1	1	nan	-110.506	0.100	nan	Nidever2002	Henry2002	name:Barnard'sStar_FAKEvsini_EXTREMERADVEL
GJ54.1	M4.0V	12.074	3600	01 12 30.64	-16 59 56.4	1	nan	28.089	0.100	nan	Nidever2002	Henry2002	SpT:M4.0Ve_FAKEvsini_obsmore
GJ83.1	M4.5V	12.298	3600	02 00 12.96	+13 03 07.02	1	nan	-28.567	0.100	nan	Nidever2002	Henry2002	FAKEvsini_obsmore_variable:eruptive
GJ1061	M5.0V	13.07	4800	03 35 59.70	-44 30 45.7	4	1	1.397	0.056	Hojjatpanah2019	Yep2024	Henry2002	Henry2006forSpT_noPASTEL_obsmore!
HD91375	A2III	4.718	130	10 30 20.1271	-71 59 34.060	10	nan	6.63	0.12	Royer2002	Gaia2022	Royer2002	
HD220657	F8III	4.40	150	23 25 22.7829	+23 24 14.763	80.42	0.93	-8.59	0.92	Hojjatpanah2019	Massarotti2008	Gray2001	
HD217563	G5III	5.943	500	23 01 31.7094	-04 42 41.259	0.100	nan	4.661	0.100	nan	Nidever2002	Houk1999	SpT:G5II/IIIPOSSIBLESUPERGIANT_FAKEvsini
HD9270	G7III	3.620	30	01 31 29.0103	+15 20 44.969	8.4	7	13.4	0.055	Massarotti2008	Yep2024	Keenan1989	name:etaPsc_SpT:G7IIIa_Fred_badradvel:Massarotti2008:13.78+/-0.17_reobs!
HD24160	G8III	4.170	78.991	03 49 27.2453	-36 12 00.904	1	1	2.62	0.23	nan	Gaia2018	Houk1982	FAKEvsini
HD38529	G8III	5.938	350	05 46 34.9126	+01 10 05.496	1.63	0.29	30.21	0.100	Jofre2015	Nidever2002	Houk1999	SpT:G8III/IV_POSSIBLESUBGIANT
HD201381	K0III	4.520	100	21 09 35.6489	-11 22 18.085	8	nan	-11.26	0.15	Bernacca1970	Gaia2018	Houk1999	
ThetaCet	K0III	3.590	30	01 24 01.4053	-08 10 59.721	2.7	nan	15.831	0.037	Massarotti2008	Yep2024	Houk1999	Fred_badradvel:Gontcharov2006:17.20+/-0.50_reobs!
HD25069	K0.5III	5.843	350	03 58 52.3941	-05 28 11.805	3.3	0.5	38.484	0.100	Marsden2014	Nidever2002	Houk1999	SpT:K0/1III
HD25723	K1III	5.622	300	04 04 22.7161	-12 47 32.266	1	nan	26.748	0.100	nan	Nidever2002	Houk1988	SpTsupposedlyHouk1988butIcouldn'tfindit_FAKEvsini
HD223807	K1III	5.76	300	23 52 50.5294	-08 59 48.329	0.100	nan	-15.825	0.100	nan	Nidever2002	Houk1999	FAKEvsini
HD26846	K2III	4.86	100	04 14 23.6890	-10 15 22.608	1.6	nan	6.394640	0.00349	Massarotti2008	Jonsson2020	Houk1999	
HD209128	K2III	5.606	300	22 01 05.0146	+00 36 16.980	0.100	nan	8.115	0.100	nan	Nidever2002	Houk1999	FAKEvsini
HD217459	K2.5III	5.852	350	23 00 42.9002	+03 00 42.492	0.100	nan	18.63	0.100	nan	Nidever2002	Houk1999	SpT:K2/3III_FAKEvsini
chiSco	K3III	5.252	200	16 13 50.9056	-11 50 15.889	8	nan	-23.611	0.100	Bernacca1970	Nidever2002	Houk1999	
HD223559	K4.5III	5.711	200	23 50 33.2855	-14 24 05.371	0.100	nan	-62.839	0.100	nan	Nidever2002	Keenan1989	SpT_K4.5IIIb_FAKEvsini
NVel 	K4.5III	3.158	20	09 31 13.352400	-57 02 03.81012	1.0	nan	-14.39	0.33	DeMedeiros2014	Gontcharov2006	Houk1975	SpT:K4/5III_notinPASTEL_TefffromGaia_Fred_HD10824_radvelshifts_reobs!forfun_JUNK
HD168720	M1III	4.96	100	18 20 17.9149	+21 57 40.667	1	nan	-32.10	0.27	nan	Gaia2018	Keenan1989	FAKEvsini
HD1879	M2III	6.425	600	00 23 04.3911	-15 56 33.110	1	nan	-20.20	3.20	nan	Gontcharov2006	Keenan1989	FAKEvsini
HD11695	M4III	4.41	100	01 53 38.7410	-46 18 09.605	1.0	nan	2.90	1.50	nan	Gontcharov2006	Houk1978	
HD29712	M8III	5.40	200	04 36 45.5913	-62 04 37.797	1	nan	26.10	2.90	nan	Gontcharov2006	Houk1975	FAKEvsini
HD111613	B9.5I	5.720	300	12 51 17.9764	-60 19 47.23	27.3	6.0	-21.90	1.40	Ammler-VonEiff2012	Gontcharov2006	Houk1975	SpT:B9.5Iab_forHlineNormalization
#throw out or change name:												
HD11636	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	specbin_JUNK
HD8511	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	fastrot_HIGHVSINI_JUNK
HD17918	F5III	6.30	600	02 53 11.695	+16 29 00.457	nan	nan	nan	nan	nan	nan	nan	fastrot_HIGHVSINI_JUNK
HD186302	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	toodim_JUNK
HD26736	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	toodim_JUNK
HD224618	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	toodim_JUNK
HD10824	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	RENAMED:NVel
GJ144	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	RENAMED:HD22049
HIP111288	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	toodim_JUNK
HIP3261	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	toodim_JUNK
BD+022098	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	toodim_JUNK
V1211Oph	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	waytoodim_JUNK
CDCet	M4.5V	14.001	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	waytoodim_JUNK
GJ166	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	tooclosetogether_JUNK
GJ302	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	RENAMED:HD69830
HD149661	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	RENAMED:12Oph
GJ631	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	RENAMED:12Oph
GJ702AB	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	doublestar_JUNK
GJ137	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	RENAMED:HD20630
GJ68	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	RENAMED:107Psc
GJ566	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	binstar_JUNK
